input	prediction
14	O
mL	O
,	O
Refills	O
:	O
0	O
,	O
Entered	O
:	O
01	O
/	O
27	O
/	O
20	O
17	O
:	O
03	O
:	O
00	O
EST	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
fluticasone	B-Pharmacologic_Substance
50	O
mcg	O
/	O
inh	I-Clinical_Drug
nasal	B-Clinical_Drug
spray	I-Clinical_Drug
:	O
Dose	O
Amount	O
:	O
2	O
spray	O
,	O
Nasal	O
,	O
daily	O
,	O
PRN	O
Allergy	B-Sign_or_Symptom
symptoms	I-Sign_or_Symptom
,	O
Special	O
Instructions	O
:	O
each	O
nostril	O
,	O
Dispense	O
Quantity	O
:	O
1	O
EA	O
,	O
Refills	O
:	O
11	O
,	O
Entered	O
:	O
03	O
/	O
09	O
/	O
20	O
8	O
:	O
22	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
glycopyrrolate	B-Pharmacologic_Substance
1	O
mg	O
/	O
5	O
mL	O
oral	B-Clinical_Drug
solution	I-Clinical_Drug
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
4	O
mL	O
GTUBE	B-Clinical_Drug
05	O
:	O
00	O
,	O
14	O
:	O
00	O
;	O
3.5	O
mL	O
20	O
:	O
00	O
.	O
<EOS>	----
Doses	O
may	O
be	O
reduced	O
,	O
or	O
completely	O
skipped	O
,	O
should	O
secretions	B-Body_Substance
be	O
thick	B-Qualitative_Concept
,	O
tenacious	B-CUI_less
,	O
or	O
difficult	O
to	O
extricate	O
.	O
,	O
Dispense	O
Quantity	O
:	O
900	O
mL	O
,	O
<EOS>	----
Refills	B-Therapeutic_or_Preventive_Procedure
:	O
3	O
,	O
Entered	O
:	O
09	O
/	O
02	O
/	O
20	O
8	O
:	O
...	O
<EOS>	----
hydrocortisone	B-Pharmacologic_Substance
5	O
mg	O
oral	O
tablet	O
:	O
Dose	O
:	O
15	O
mg	O
,	O
Dose	O
Amount	O
:	O
3	O
tab	O
,	O
GTUBE	O
,	O
Q6hr	O
,	O
Special	O
Instructions	O
:	O
give	O
as	O
directed	O
for	O
stress	B-CUI_less
e.g.	O
,	O
fever	B-Sign_or_Symptom
>	I-CUI_less
101F	I-CUI_less
,	O
diarrhea	B-Sign_or_Symptom
,	O
broken	B-Finding
bone	I-Finding
,	O
infection	B-Disease_or_Syndrome
,	O
etc	O
.	O
,	O
Dispense	O
Quantity	O
:	O
150	O
tab	O
,	O
Refills	O
:	O
11	O
,	O
Entered	O
:	O
10	O
/	O
03	O
/	O
19	O
13	O
:	O
44	O
:	O
09	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
2162	O
<EOS>	----
hyoscyamine	B-Pharmacologic_Substance
0.125	O
mg	O
sublingual	I-Clinical_Drug
tablet	I-Clinical_Drug
:	O
Dose	O
:	O
0.25	O
mg	O
,	O
Dose	O
Amount	O
:	O
2	O
tab	O
,	O
SL	O
,	O
Q4hr	O
,	O
PRN	O
Agitation	B-Sign_or_Symptom
,	O
Dispense	O
Quantity	O
:	O
60	O
cap	O
,	O
Refills	O
:	O
1	O
,	O
Entered	O
:	O
05	O
/	O
14	O
/	O
20	O
12	O
:	O
24	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
,	O
40.7	O
<EOS>	----
ipratropium	B-Pharmacologic_Substance
42	O
mcg	O
/	O
inh	O
(	O
0.06	O
%	O
)	O
nasal	B-Clinical_Drug
spray	I-Clinical_Drug
:	O
Dose	O
Amount	O
:	O
2	O
spray	O
,	O
Nasal	O
,	O
TID	O
,	O
Dispense	O
Quantity	O
:	O
3	O
EA	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
01	O
/	O
07	O
/	O
20	O
13	O
:	O
05	O
:	O
00	O
EST	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
ipratropium	B-Pharmacologic_Substance
500	O
mcg	O
/	O
2.5	O
mL	O
inhalation	B-Clinical_Drug
solution	I-Clinical_Drug
:	O
Dose	O
:	O
500	O
mcg	O
,	O
Dose	O
Amount	O
:	O
2.5	O
mL	O
,	O
NEB	O
,	O
TID	O
,	O
Dispense	O
Quantity	O
:	O
675	O
mL	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
01	O
/	O
07	O
/	O
20	O
13	O
:	O
05	O
:	O
00	O
EST	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
lacosamide	B-Pharmacologic_Substance
10	O
mg	O
/	O
mL	O
oral	O
solution	I-Clinical_Drug
:	O
Dose	O
:	O
100	O
mg	O
,	O
Dose	O
Amount	O
:	O
10	O
mL	O
,	O
GTUBE	O
,	O
BID	O
,	O
Dispense	O
Quantity	O
:	O
600	O
mL	O
,	O
Refills	O
:	O
5	O
,	O
Entered	O
:	O
08	O
/	O
30	O
/	O
20	O
10	O
:	O
58	O
:	O
00	O
EDT	O
<EOS>	----
lactobacillus	B-Antibiotic
rhamnosus	I-Antibiotic
GG	I-Clinical_Drug
oral	I-Clinical_Drug
capsule	I-Clinical_Drug
:	O
Dose	O
Amount	O
:	O
1	O
cap	O
,	O
GTUBE	O
,	O
daily	O
,	O
Dispense	O
Quantity	O
:	O
30	O
cap	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
08	O
/	O
05	O
/	O
20	O
16	O
:	O
25	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
levOCARNitine	B-Pharmacologic_Substance
100	O
mg	O
/	O
mL	O
oral	I-Clinical_Drug
solution	I-Clinical_Drug
:	O
Dose	O
:	O
500	O
mg	O
,	O
Dose	O
Amount	O
:	O
5	O
mL	O
,	O
GTUBE	O
,	O
TID	O
,	O
Dispense	O
Quantity	O
:	O
1350	O
mL	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
06	O
/	O
09	O
/	O
20	O
17	O
:	O
58	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
levalbuterol	B-Pharmacologic_Substance
0.63	O
mg	O
/	O
3	O
mL	O
inhalation	B-Clinical_Drug
solution	I-Clinical_Drug
:	O
Dose	O
:	O
0.63	O
mg	O
,	O
Dose	O
Amount	O
:	O
3	O
mL	O
,	O
INH	B-Antibiotic
,	O
Q8hr	O
,	O
PRN	O
Respiratory	B-Sign_or_Symptom
Distress	I-Sign_or_Symptom
,	O
Dispense	O
Quantity	O
:	O
810	O
mL	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
03	O
/	O
09	O
/	O
20	O
10	O
:	O
08	O
:	O
32	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
levothyroxine	B-Pharmacologic_Substance
88	O
mcg	O
(	O
0.088	O
mg	O
)	O
oral	O
tablet	O
:	O
Dose	O
:	O
88	O
mcg	O
,	O
Dose	O
Amount	O
:	O
1	O
tab	O
,	O
GTUBE	O
,	O
daily	O
,	O
Dispense	O
Quantity	O
:	O
30	O
tab	O
,	O
Refills	O
:	O
11	O
,	O
Entered	O
:	O
05	O
/	O
22	O
/	O
20	O
13	O
:	O
56	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
lidocaine	B-Clinical_Drug
5	I-Clinical_Drug
%	I-Clinical_Drug
topical	I-Clinical_Drug
film	I-Clinical_Drug
:	O
Dose	O
Amount	O
:	O
1	O
patch	O
,	O
TD	O
,	O
Q24hr	O
,	O
PRN	O
Pain	B-Sign_or_Symptom
:	O
Anticip	O
/	O
Mild	O
/	O
Mod	O
(	O
Score	O
0	O
-	O
6	O
)	O
,	O
Special	O
Instructions	O
:	O
remove	O
patches	O
after	O
12	O
hours	O
,	O
Dispense	O
Quantity	O
:	O
30	O
patch	O
,	O
Entered	O
:	O
09	O
/	O
03	O
/	O
20	O
9	O
:	O
36	O
:	O
00	O
EDT	O
,	O
Stop	O
:	O
10	O
/	O
10	O
/	O
20	O
9	O
:	O
36	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
midazolam	B-Pharmacologic_Substance
5	O
mg	O
/	O
mL	O
injectable	I-Clinical_Drug
solution	I-Clinical_Drug
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
Give	O
0.8	O
mL	O
(	O
4	O
mg	O
)	O
to	O
EACH	O
nostril	O
OR	O
1.6	O
mL	O
(	O
8	O
mg	O
)	O
in	O
the	O
buccal	O
cavity	O
for	O
convulsive	B-Sign_or_Symptom
seizure	I-Finding
lasting	O
>	O
3	O
minutes	O
,	O
Dispense	O
Quantity	O
:	O
2	O
EA	O
,	O
Refills	O
:	O
2	O
,	O
Entered	O
:	O
08	O
/	O
04	O
/	O
20	O
16	O
:	O
48	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
midazolam	B-Pharmacologic_Substance
5	O
mg	O
/	O
mL	O
injectable	I-Clinical_Drug
solution	I-Clinical_Drug
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
Give	O
0.8	O
mL	O
(	O
4	O
mg	O
)	O
to	O
EACH	O
nostril	O
OR	O
1.6	O
mL	O
(	O
8	O
mg	O
)	O
in	O
the	O
buccal	O
cavity	O
for	O
convulsive	B-Sign_or_Symptom
seizure	I-Finding
lasting	O
>	O
3	O
minutes	O
,	O
Dispense	O
Quantity	O
:	O
2	O
EA	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
08	O
/	O
13	O
/	O
20	O
8	O
:	O
27	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
2162	O
<EOS>	----
nystatin	B-Antibiotic
-	O
triamcinolone	B-Pharmacologic_Substance
100	O
,	O
000	O
units	O
/	O
g	O
-	O
0.1	O
%	I-Clinical_Drug
topical	B-Clinical_Drug
cream	I-Clinical_Drug
:	O
Dose	O
Amount	O
:	O
1	O
appl	O
,	O
TOP	O
,	O
BID	O
,	O
Special	O
Instructions	O
:	O
Apply	O
think	B-Clinical_Drug
layer	I-Clinical_Drug
to	O
GJ	B-Medical_Device
tube	I-Medical_Device
site	B-Spatial_Concept
BID	O
.	O
<EOS>	----
Discontinue	O
when	O
rash	B-Sign_or_Symptom
resolves	O
.	O
<EOS>	----
Do	O
not	O
use	O
longer	O
than	O
25	O
days	O
.	O
,	O
Dispense	O
Quantity	O
:	O
30	O
g	O
,	O
<EOS>	----
Refills	O
:	O
1	O
,	O
Entered	O
:	O
05	O
/	O
13	O
/	O
20	O
8	O
:	O
54	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
,	O
40.7	O
<EOS>	----
omega	B-Pharmacologic_Substance
-	I-Pharmacologic_Substance
3	I-Pharmacologic_Substance
polyunsaturated	I-Pharmacologic_Substance
fatty	I-Pharmacologic_Substance
acids	I-Pharmacologic_Substance
1400	O
mg	O
/	O
5	O
mL	O
oral	O
liquid	I-Clinical_Drug
:	O
Dose	O
:	O
700	O
mg	O
,	O
Dose	O
Amount	O
:	O
2.5	O
mL	O
,	O
PO	O
,	O
daily	O
,	O
Dispense	O
Quantity	O
:	O
210	O
mL	O
,	O
Refills	O
:	O
5	O
,	O
Entered	O
:	O
05	O
/	O
15	O
/	O
19	O
16	O
:	O
05	O
:	O
27	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
omeprazole	B-Pharmacologic_Substance
2	O
mg	O
/	O
mL	O
oral	I-Clinical_Drug
suspension	I-Clinical_Drug
:	O
Dose	O
:	O
20	O
mg	O
,	O
Dose	O
Amount	O
:	O
10	O
mL	O
,	O
GTUBE	O
,	O
daily	O
,	O
Special	O
Instructions	O
:	O
Give	O
at	O
bedtime	O
,	O
Dispense	O
Quantity	O
:	O
600	O
mL	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
05	O
/	O
07	O
/	O
20	O
16	O
:	O
20	O
:	O
00	O
EDT	O
,	O
ACC	O
Apothecary	O
<EOS>	----
ondansetron	B-Pharmacologic_Substance
4	O
mg	O
/	O
5	O
mL	O
oral	I-Clinical_Drug
solution	I-Clinical_Drug
:	O
Dose	O
:	O
4	O
mg	O
,	O
PO	O
,	O
Q8hr	O
,	O
PRN	O
Nausea	B-Sign_or_Symptom
/	O
Vomiting	B-Sign_or_Symptom
,	O
Dispense	O
Quantity	O
:	O
90	O
mL	O
,	O
Refills	O
:	O
0	O
,	O
Entered	O
:	O
08	O
/	O
30	O
/	O
20	O
11	O
:	O
02	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
2162	O
<EOS>	----
senna	B-Pharmacologic_Substance
8.8	O
mg	O
/	O
5	O
mL	O
oral	B-Clinical_Drug
syrup	I-Clinical_Drug
:	O
Dose	O
:	O
19.36	O
mg	O
,	O
Dose	O
Amount	O
:	O
11	O
mL	O
,	O
GTUBE	O
,	O
daily	O
,	O
Special	O
Instructions	O
:	O
Indication	O
more	O
than	O
6yrs	O
old	O
,	O
Dispense	O
Quantity	O
:	O
660	O
mL	O
,	O
Refills	O
:	O
5	O
,	O
Entered	O
:	O
05	O
/	O
07	O
/	O
20	O
14	O
:	O
00	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
sodium	B-Pharmacologic_Substance
chloride	I-Pharmacologic_Substance
0.9	O
%	O
inhalation	I-Clinical_Drug
solution	I-Clinical_Drug
:	O
Dose	O
:	O
0.027	O
g	O
,	O
Dose	O
Amount	O
:	O
3	O
mL	O
,	O
INH	B-Antibiotic
,	O
Q3hr	O
,	O
PRN	O
Congestion	B-Sign_or_Symptom
,	O
Special	O
Instructions	O
:	O
9	O
boxes	O
-	O
90	O
da	O
,	O
Dispense	O
Quantity	O
:	O
9	O
kit	O
,	O
Refills	O
:	O
1	O
,	O
Entered	O
:	O
06	O
/	O
13	O
/	O
20	O
9	O
:	O
11	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
tetrabenazine	B-Pharmacologic_Substance
12.5	O
mg	O
oral	O
tablet	O
:	O
Dose	O
:	O
12.5	O
mg	O
,	O
Dose	O
Amount	O
:	O
1	O
tab	O
,	O
GTUBE	O
,	O
BID	O
,	O
Dispense	O
Quantity	O
:	O
60	O
tab	O
,	O
Refills	O
:	O
5	O
,	O
Entered	O
:	O
09	O
/	O
03	O
/	O
20	O
10	O
:	O
59	O
:	O
00	O
EDT	O
<EOS>	----
zolpidem	B-Pharmacologic_Substance
3.5	O
mg	O
sublingual	B-Clinical_Drug
tablet	I-Clinical_Drug
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
1	O
tab	O
SL	O
as	O
needed	O
for	O
sleep	O
,	O
Dispense	O
Quantity	O
:	O
12	O
tab	O
,	O
Entered	O
:	O
06	O
/	O
15	O
/	O
20	O
12	O
:	O
50	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
zonisamide	B-Pharmacologic_Substance
10	O
mg	O
/	O
mL	O
oral	B-Therapeutic_or_Preventive_Procedure
Liq	B-Clinical_Drug
(	O
compound	O
)	O
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
35ml	O
pgt	O
QPM	O
,	O
Dispense	O
Quantity	O
:	O
1	O
,	O
050	O
mL	O
,	O
Refills	O
:	O
5	O
,	O
Entered	O
:	O
07	O
/	O
08	O
/	O
20	O
12	O
:	O
12	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
2162	O
<EOS>	----
Documented	O
Medications	O
<EOS>	----
Documented	O
<EOS>	----
Fleet	B-Clinical_Drug
Glycerin	I-Clinical_Drug
Suppositories	I-Clinical_Drug
Pediatric	O
:	O
PR	O
,	O
daily	O
,	O
Entered	O
:	O
10	O
/	O
21	O
/	O
19	O
12	O
:	O
34	O
:	O
14	O
EDT	O
<EOS>	----
Multiple	B-Quantitative_Concept
Vitamins	B-Clinical_Drug
with	I-Clinical_Drug
Minerals	I-Clinical_Drug
oral	I-Clinical_Drug
tablet	I-Clinical_Drug
,	O
chewable	O
:	O
GTUBE	O
,	O
daily	O
,	O
Entered	O
:	O
09	O
/	O
20	O
/	O
19	O
7	O
:	O
21	O
:	O
47	O
EDT	O
<EOS>	----
Vitamin	B-Pharmacologic_Substance
C	I-Pharmacologic_Substance
:	O
Dose	O
:	O
300	O
mg	O
,	O
GTUBE	O
,	O
daily	O
,	O
Entered	O
:	O
05	O
/	O
29	O
/	O
15	O
9	O
:	O
21	O
:	O
17	O
EDT	O
<EOS>	----
konsyl	B-Pharmacologic_Substance
2	O
tsp	O
in	O
pedialyte	O
and	O
1	O
/	O
4	O
tsp	O
lite	O
morton	O
salt	O
:	O
konsyl	B-Pharmacologic_Substance
2	O
tsp	O
in	O
pedialyte	O
and	O
1	O
/	O
4	O
tsp	O
lite	O
morton	O
salt	O
,	O
Entered	O
:	O
08	O
/	O
17	O
/	O
17	O
15	O
:	O
11	O
:	O
00	O
EDT	O
<EOS>	----
pyridoxine	B-Pharmacologic_Substance
:	O
Dose	O
:	O
100	O
mg	O
,	O
Dose	O
Amount	O
:	O
1	O
mL	O
,	O
PO	O
,	O
daily	O
,	O
Entered	O
:	O
08	O
/	O
30	O
/	O
20	O
6	O
:	O
37	O
:	O
00	O
EDT	O
<EOS>	----
riboflavin	B-Pharmacologic_Substance
50	O
mg	O
oral	O
tablet	O
:	O
Dose	O
:	O
12.5	O
mg	O
,	O
Dose	O
Amount	O
:	O
0.25	O
tab	O
,	O
GTUBE	O
,	O
Q12hr	O
,	O
Entered	O
:	O
08	O
/	O
30	O
/	O
20	O
6	O
:	O
37	O
:	O
00	O
EDT	O
<EOS>	----
saliva	B-Clinical_Drug
substitutes	I-Clinical_Drug
:	O
Dose	O
Amount	O
:	O
15	O
mL	O
,	O
Swish	O
and	O
Spit	O
,	O
5x	O
/	O
Day	O
,	O
Entered	O
:	O
09	O
/	O
20	O
/	O
19	O
7	O
:	O
24	O
:	O
48	O
EDT	O
<EOS>	----
selenium	B-Pharmacologic_Substance
:	O
Dose	O
:	O
25	O
mcg	O
,	O
GTUBE	O
,	O
daily	O
,	O
Entered	O
:	O
09	O
/	O
19	O
/	O
19	O
2	O
:	O
25	O
:	O
20	O
EDT	O
<EOS>	----
zoledronic	B-Pharmacologic_Substance
acid	I-Pharmacologic_Substance
4	O
mg	O
/	O
100	O
mL	O
intravenous	O
solution	I-Clinical_Drug
:	O
IV	O
,	O
Entered	O
:	O
10	O
/	O
21	O
/	O
19	O
15	O
:	O
00	O
:	O
57	O
EDT	O
.	O
<EOS>	----
Immunizations	O
:	O
Up	O
to	O
date	O
.	O
<EOS>	----
Past	O
Medical	O
/	O
Family	O
/	O
Social	O
History	O
<EOS>	----
Medical	O
history	O
<EOS>	----
reviewed	O
in	O
chart	O
and	O
non	O
-	O
contributory	O
to	O
the	O
patient	O
's	O
presentation	O
except	O
as	O
noted	O
above	O
in	O
the	O
HPI	O
.	O
<EOS>	----
Surgical	O
history	O
:	O
reviewed	O
in	O
chart	O
and	O
non	O
-	O
contributory	O
to	O
the	O
patient	O
's	O
presentation	O
except	O
as	O
noted	O
above	O
in	O
the	O
HPI	O
.	O
<EOS>	----
Family	O
history	O
:	O
Reviewed	O
and	O
non	O
-	O
contributory	O
to	O
the	O
patient	O
's	O
condition	O
..	O
<EOS>	----
Social	O
history	O
:	O
Lives	O
at	O
home	O
with	O
family	O
..	O
<EOS>	----
Problem	O
list	O
:	O
<EOS>	----
All	O
Problems	O
(	O
Selected	O
)	O
<EOS>	----
Acquired	B-Pathologic_Function
scoliosis	I-Pathologic_Function
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
178485010	O
/	O
Confirmed	O
<EOS>	----
Adrenal	B-Disease_or_Syndrome
insufficiency	I-Disease_or_Syndrome
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
1491625012	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Anisocoria	B-Pathologic_Function
/	O
SNOMED	O
CT	O
22334011	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Aspiration	B-Therapeutic_or_Preventive_Procedure
into	O
trachea	I-Injury_or_Poisoning
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
2791768012	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Ballismus	O
.	O
/	O
SNOMED	O
CT	O
2674578015	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Bone	B-Finding
density	I-Finding
low	B-Qualitative_Concept
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
2912617014	O
/	O
Confirmed	O
<EOS>	----
Chorea	B-Disease_or_Syndrome
.	O
/	O
SNOMED	O
CT	O
406579018	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Chronic	B-Sign_or_Symptom
constipation	I-Sign_or_Symptom
/	O
SNOMED	O
CT	O
353853017	O
/	O
Confirmed	O
<EOS>	----
Chronic	B-Disease_or_Syndrome
lung	I-Disease_or_Syndrome
disease	I-Disease_or_Syndrome
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
2535179019	O
/	O
Confirmed	O
<EOS>	----
Cortical	B-Pathologic_Function
blindness	I-Pathologic_Function
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
113901010	O
/	O
Confirmed	O
<EOS>	----
Curvature	B-Organ_or_Tissue_Function
of	O
spine	B-Body_Location_or_Region
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
106745019	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Dependence	O
on	O
wheel	O
chair	O
/	O
SNOMED	O
CT	O
2693235012	O
/	O
Confirmed	O
<EOS>	----
Developmental	B-Finding
delay	I-Finding
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
370667011	O
/	O
Confirmed	O
<EOS>	----
Disorder	B-Finding
of	I-Finding
bone	I-Finding
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
2474921010	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Epistaxis	B-Pathologic_Function
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
21406015	O
/	O
Confirmed	O
<EOS>	----
Esotropia	B-Pathologic_Function
/	O
SNOMED	B-Diagnostic_Procedure
CT	O
28071010	O
/	O
Confirmed	O
<EOS>	----
Gastroesophageal	B-Disease_or_Syndrome
reflux	I-Disease_or_Syndrome
disease	I-Disease_or_Syndrome
/	O
SNOMED	O
CT	O
353135014	O
/	O
Confirmed	O
<EOS>	----
Global	B-Pathologic_Function
developmental	I-Finding
delay	I-Finding
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
338115019	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Hashimoto	B-Disease_or_Syndrome
thyroiditis	I-Disease_or_Syndrome
/	O
SNOMED	O
CT	O
36884017	O
/	O
Confirmed	O
<EOS>	----
History	O
of	O
immune	B-Disease_or_Syndrome
thrombocytopenia	I-Disease_or_Syndrome
/	O
SNOMED	O
CT	O
2816356014	O
/	O
Confirmed	O
<EOS>	----
Hypothyroidism	B-Disease_or_Syndrome
due	O
to	O
Hashimoto	B-Disease_or_Syndrome
's	I-Disease_or_Syndrome
thyroiditis	I-Disease_or_Syndrome
/	O
SNOMED	O
CT	O
355967011	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Hypoventilation	B-Pathologic_Function
during	O
sleep	O
due	O
to	O
neuromuscular	B-Disease_or_Syndrome
disorder	I-Disease_or_Syndrome
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
2695538012	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Hypoxia	B-Pathologic_Function
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
1483143019	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Idiopathic	B-Disease_or_Syndrome
osteoporosis	I-Disease_or_Syndrome
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
6641011	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Jejunostomy	B-Medical_Device
tube	I-Medical_Device
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
3059018	O
/	O
Confirmed	O
<EOS>	----
Long	O
-	O
term	O
drug	B-Therapeutic_or_Preventive_Procedure
therapy	I-Therapeutic_or_Preventive_Procedure
/	O
SNOMED	B-Diagnostic_Procedure
CT	O
397160018	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Mitochondrial	B-Pathologic_Function
cytopathy	I-Pathologic_Function
/	O
SNOMED	O
CT	O
359707011	O
/	O
Confirmed	O
<EOS>	----
Mitochondrial	B-Disease_or_Syndrome
disease	I-Disease_or_Syndrome
/	O
SNOMED	O
CT	O
2871257019	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Mitochondrial	B-Disease_or_Syndrome
myopathy	I-Disease_or_Syndrome
/	O
SNOMED	O
CT	O
28528010	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
OSA	B-Disease_or_Syndrome
-	O
Obstructive	B-Disease_or_Syndrome
sleep	I-Disease_or_Syndrome
apnea	I-Disease_or_Syndrome
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
1218438013	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Osteopenia	B-Disease_or_Syndrome
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
456694019	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Osteoporosis	B-Disease_or_Syndrome
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
107806013	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Paroxysmal	B-Disease_or_Syndrome
choreoathetosis	I-Disease_or_Syndrome
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
83196018	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Phimosis	O
/	O
SNOMED	O
CT	O
2912847013	O
/	O
Confirmed	O
<EOS>	----
Poor	B-Finding
muscle	I-Finding
tone	I-Finding
/	O
SNOMED	O
CT	O
1777712016	O
/	O
Confirmed	O
<EOS>	----
Recurrent	B-Temporal_Concept
bronchiectasis	B-Disease_or_Syndrome
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
301524014	O
/	O
Confirmed	O
<EOS>	----
Added	O
by	O
QCC	O
<EOS>	----
Restrictive	B-Disease_or_Syndrome
lung	I-Disease_or_Syndrome
disease	I-Disease_or_Syndrome
/	O
SNOMED	B-Diagnostic_Procedure
CT	I-Diagnostic_Procedure
60901014	O
/	O
Confirmed	O
<EOS>	----
Added	O
